time,rad_s
80.528,45.6895
80.532,45.4429
80.536,45.2049
80.54,45.0299
80.544,44.9458
80.548,44.9298
80.552,45.0422
80.556,45.1582
80.56,45.3628
80.564,45.6318
80.568,45.9475
80.572,46.2799
80.576,46.573
80.58,47.0265
80.584,47.3902
80.588,47.6544
80.592,47.829
80.596,47.8869
80.6,47.8818
80.604,47.7195
80.608,47.5163
80.612,47.2224
80.616,46.9163
80.62,46.6276
80.624,46.3258
80.628,46.013
80.632,45.7279
80.636,45.4477
80.64,45.2369
80.644,45.085
80.648,45.0021
80.652,44.9963
80.656,45.1937
80.66,45.4746
80.664,45.713
80.668,46.041
80.672,46.3995
80.676,46.6598
80.68,46.9521
80.684,47.2159
80.688,47.4418
80.692,47.5371
80.696,47.5891
80.7,47.5925
80.704,47.5659
80.708,47.4876
80.712,47.3652
80.716,47.3073
80.72,47.3878
80.724,47.3947
80.728,47.3603
80.732,47.3124
80.736,47.1416
80.74,46.9775
80.744,46.8377
80.748,46.7929
80.752,46.7546
80.756,46.722
80.76,46.7128
80.764,46.7155
80.768,46.7518
80.772,46.8469
80.776,46.9677
80.78,47.1069
80.784,47.2769
80.788,47.5035
80.792,47.668
80.796,47.7875
80.8,47.8914
80.804,47.9669
80.808,48.0046
80.812,47.9636
80.816,47.9101
80.82,47.8553
80.824,47.7993
80.828,47.7237
80.832,47.6315
80.836,47.5343
80.84,47.4515
80.844,47.3716
80.848,47.4348
80.852,47.5494
80.856,47.6499
80.86,47.7572
80.864,47.8695
80.868,48.1575
80.872,48.401
80.876,48.4058
80.88,48.4438
80.884,48.5057
80.888,48.5163
80.892,48.5019
80.896,48.4525
80.9,48.4196
80.904,48.3731
80.908,48.3149
80.912,48.256
80.916,48.3006
80.92,48.2531
80.924,48.2033
80.928,48.1609
80.932,48.1341
80.936,48.1112
80.94,48.0918
80.944,48.147
80.948,48.2387
80.952,48.3397
80.956,48.4302
80.96,48.496
80.964,48.7501
80.968,48.9346
80.972,48.9655
80.976,48.9878
80.98,49.0041
80.984,49.1191
80.988,49.1682
80.992,49.1596
80.996,49.1244
81.0,49.1223
81.004,49.1019
81.008,49.0567
81.012,49.0089
81.016,48.9496
81.02,48.9763
81.024,48.9786
81.028,48.9702
81.032,49.0773
81.036,49.1895
81.04,49.2709
81.044,49.4505
81.048,49.5636
81.052,49.663
81.056,49.7179
81.06,49.5909
81.064,49.4455
81.068,49.3031
81.072,49.1539
81.076,48.9896
81.08,48.8125
81.084,48.6429
81.088,48.5078
81.092,49.5154
81.096,49.9892
81.1,50.3676
81.104,50.8144
81.108,51.1904
81.112,51.4978
81.116,51.721
81.12,51.8143
81.124,51.9336
81.128,51.8225
81.132,51.6721
81.136,51.4511
81.14,51.1978
81.144,50.8891
81.148,50.5425
81.152,50.1914
81.156,49.8458
81.16,49.5141
81.164,49.2315
81.168,49.0649
81.172,48.9508
81.176,48.8907
81.18,48.985
81.184,49.4319
81.188,49.894
81.192,50.3843
81.196,50.5855
81.2,50.8348
81.204,51.0503
81.208,51.2411
81.212,51.3796
81.216,51.4459
81.22,51.7003
81.224,51.7992
81.228,51.7915
81.232,51.7385
81.236,51.6469
81.24,51.5317
81.244,51.2942
81.248,51.0455
81.252,50.7778
81.256,50.3547
81.26,49.9477
81.264,49.5545
81.268,49.2102
81.272,48.9168
81.276,48.6946
81.28,48.5517
81.284,48.4299
81.288,48.5301
81.292,48.6027
81.296,49.2402
81.3,49.789
81.304,50.3596
